2020-06-07-13:37:22,background,9691,2289,343650,321818,0.8089,0.0292,0.0564

2020-06-07-13:37:22,lungs1,104610,186344,373930,12564,0.3595,0.8928,0.5126

2020-06-07-13:37:22,lung2,9867,15832,537381,114368,0.3839,0.0794,0.1316

2020-06-07-13:37:22,heart,93665,199718,383145,920,0.3193,0.9903,0.4828

2020-06-07-13:37:22,esophagus,1,4644,670131,2672,0.0002,0.0004,0.0003

2020-06-07-13:37:22,trachia,141,35672,637401,4234,0.0039,0.0322,0.007

2020-06-07-13:37:22,spine,190,14784,659767,2707,0.0127,0.0656,0.0213

2020-06-07-13:37:24,background,10643,1844,344095,320866,0.8523,0.0321,0.0619

2020-06-07-13:37:24,lungs1,105366,186900,373374,11808,0.3605,0.8992,0.5147

2020-06-07-13:37:24,lung2,10391,15450,537763,113844,0.4021,0.0836,0.1385

2020-06-07-13:37:24,heart,93804,200717,382146,781,0.3185,0.9917,0.4822

2020-06-07-13:37:24,esophagus,0,3987,670788,2673,nan,nan,nan

2020-06-07-13:37:24,trachia,120,34753,638320,4255,0.0034,0.0274,0.0061

2020-06-07-13:37:24,spine,195,13278,661273,2702,0.0145,0.0673,0.0238

2020-06-07-13:37:26,background,11864,1505,344434,319645,0.8874,0.0358,0.0688

2020-06-07-13:37:26,lungs1,105169,185840,374434,12005,0.3614,0.8975,0.5153

2020-06-07-13:37:26,lung2,11885,16462,536751,112350,0.4193,0.0957,0.1558

2020-06-07-13:37:26,heart,93909,200956,381907,676,0.3185,0.9929,0.4823

2020-06-07-13:37:26,esophagus,0,3376,671399,2673,nan,nan,nan

2020-06-07-13:37:26,trachia,99,34707,638366,4276,0.0028,0.0226,0.0051

2020-06-07-13:37:26,spine,209,11467,663084,2688,0.0179,0.0721,0.0287

2020-06-07-13:37:28,background,13362,1261,344678,318147,0.9138,0.0403,0.0772

2020-06-07-13:37:28,lungs1,103546,181385,378889,13628,0.3634,0.8837,0.515

2020-06-07-13:37:28,lung2,15122,20594,532619,109113,0.4234,0.1217,0.1891

2020-06-07-13:37:28,heart,93988,200169,382694,597,0.3195,0.9937,0.4835

2020-06-07-13:37:28,esophagus,0,2858,671917,2673,nan,nan,nan

2020-06-07-13:37:28,trachia,77,35171,637902,4298,0.0022,0.0176,0.0039

2020-06-07-13:37:28,spine,204,9711,664840,2693,0.0206,0.0704,0.0318

2020-06-07-13:37:31,background,15077,1142,344797,316432,0.9296,0.0455,0.0867

2020-06-07-13:37:31,lungs1,99344,170348,389926,17830,0.3684,0.8478,0.5136

2020-06-07-13:37:31,lung2,21350,30480,522733,102885,0.4119,0.1719,0.2425

2020-06-07-13:37:31,heart,94043,198375,384488,542,0.3216,0.9943,0.486

2020-06-07-13:37:31,esophagus,0,2472,672303,2673,nan,nan,nan

2020-06-07-13:37:31,trachia,56,36163,636910,4319,0.0015,0.0128,0.0028

2020-06-07-13:37:31,spine,222,8376,666175,2675,0.0258,0.0766,0.0386

2020-06-07-13:37:33,background,17375,1071,344868,314134,0.9419,0.0524,0.0993

2020-06-07-13:37:33,lungs1,90810,149913,410361,26364,0.3772,0.775,0.5075

2020-06-07-13:37:33,lung2,32243,49387,503826,91992,0.395,0.2595,0.3132

2020-06-07-13:37:33,heart,94089,195618,387245,496,0.3248,0.9948,0.4897

2020-06-07-13:37:33,esophagus,0,2130,672645,2673,nan,nan,nan

2020-06-07-13:37:33,trachia,48,37162,635911,4327,0.0013,0.011,0.0023

2020-06-07-13:37:33,spine,242,7360,667191,2655,0.0318,0.0835,0.0461

2020-06-07-13:37:35,background,20339,1020,344919,311170,0.9522,0.0614,0.1153

2020-06-07-13:37:35,lungs1,77411,121820,438454,39763,0.3885,0.6606,0.4893

2020-06-07-13:37:35,lung2,47378,76525,476688,76857,0.3824,0.3814,0.3819

2020-06-07-13:37:35,heart,94118,191693,391170,467,0.3293,0.9951,0.4948

2020-06-07-13:37:35,esophagus,0,1849,672926,2673,nan,nan,nan

2020-06-07-13:37:35,trachia,39,38197,634876,4336,0.001,0.0089,0.0018

2020-06-07-13:37:35,spine,271,6788,667763,2626,0.0384,0.0935,0.0544

2020-06-07-13:37:37,background,23906,1006,344933,307603,0.9596,0.0721,0.1341

2020-06-07-13:37:37,lungs1,61199,93507,466767,55975,0.3956,0.5223,0.4502

2020-06-07-13:37:37,lung2,65204,103909,449304,59031,0.3856,0.5248,0.4446

2020-06-07-13:37:37,heart,94131,187254,395609,454,0.3345,0.9952,0.5007

2020-06-07-13:37:37,esophagus,0,1630,673145,2673,nan,nan,nan

2020-06-07-13:37:37,trachia,34,38927,634146,4341,0.0009,0.0078,0.0016

2020-06-07-13:37:37,spine,319,6422,668129,2578,0.0473,0.1101,0.0662

2020-06-07-13:37:39,background,28098,1031,344908,303411,0.9646,0.0848,0.1558

2020-06-07-13:37:39,lungs1,47688,72744,487530,69486,0.396,0.407,0.4014

2020-06-07-13:37:39,lung2,80100,124052,429161,44135,0.3924,0.6447,0.4878

2020-06-07-13:37:39,heart,94134,181925,400938,451,0.341,0.9952,0.5079

2020-06-07-13:37:39,esophagus,0,1469,673306,2673,nan,nan,nan

2020-06-07-13:37:39,trachia,31,39216,633857,4344,0.0008,0.0071,0.0014

2020-06-07-13:37:39,spine,423,6537,668014,2474,0.0608,0.146,0.0858

2020-06-07-13:37:41,background,32870,1074,344865,298639,0.9684,0.0992,0.1799

2020-06-07-13:37:41,lungs1,38810,60301,499973,78364,0.3916,0.3312,0.3589

2020-06-07-13:37:41,lung2,89965,136389,416824,34270,0.3975,0.7242,0.5132

2020-06-07-13:37:41,heart,94113,176433,406430,472,0.3479,0.995,0.5155

2020-06-07-13:37:41,esophagus,0,1311,673464,2673,nan,nan,nan

2020-06-07-13:37:41,trachia,27,38613,634460,4348,0.0007,0.0062,0.0013

2020-06-07-13:37:41,spine,587,6955,667596,2310,0.0778,0.2026,0.1125

2020-06-07-13:37:43,background,38139,1154,344785,293370,0.9706,0.115,0.2057

2020-06-07-13:37:43,lungs1,34296,54233,506041,82878,0.3874,0.2927,0.3335

2020-06-07-13:37:43,lung2,95588,142256,410957,28647,0.4019,0.7694,0.528

2020-06-07-13:37:43,heart,94093,170783,412080,492,0.3552,0.9948,0.5235

2020-06-07-13:37:43,esophagus,0,1181,673594,2673,nan,nan,nan

2020-06-07-13:37:43,trachia,21,37122,635951,4354,0.0006,0.0048,0.001

