2020-06-07-12:35:48,background,236610,8426,337513,94899,0.9656,0.7137,0.8208

2020-06-07-12:35:48,lungs1,38278,55389,504885,78896,0.4087,0.3267,0.3631

2020-06-07-12:35:48,lung2,88726,89712,463501,35509,0.4972,0.7142,0.5863

2020-06-07-12:35:48,heart,92302,66619,516244,2283,0.5808,0.9759,0.7282

2020-06-07-12:35:48,esophagus,1,144,674631,2672,0.0069,0.0004,0.0007

2020-06-07-12:35:48,trachia,26,643,672430,4349,0.0389,0.0059,0.0103

2020-06-07-12:35:48,spine,1,571,673980,2896,0.0017,0.0003,0.0006

2020-06-07-12:35:50,background,252888,8225,337714,78621,0.9685,0.7628,0.8535

2020-06-07-12:35:50,lungs1,59508,71262,489012,57666,0.4551,0.5079,0.48

2020-06-07-12:35:50,lung2,69652,67113,486100,54583,0.5093,0.5606,0.5337

2020-06-07-12:35:50,heart,92369,55961,526902,2216,0.6227,0.9766,0.7605

2020-06-07-12:35:50,esophagus,0,36,674739,2673,nan,nan,nan

2020-06-07-12:35:50,trachia,14,289,672784,4361,0.0462,0.0032,0.006

2020-06-07-12:35:50,spine,0,131,674420,2897,nan,nan,nan

2020-06-07-12:35:52,background,264339,8503,337436,67170,0.9688,0.7974,0.8748

2020-06-07-12:35:52,lungs1,80220,89922,470352,36954,0.4715,0.6846,0.5584

2020-06-07-12:35:52,lung2,49324,48071,505142,74911,0.5064,0.397,0.4451

2020-06-07-12:35:52,heart,92060,44833,538030,2525,0.6725,0.9733,0.7954

2020-06-07-12:35:52,esophagus,0,10,674765,2673,nan,nan,nan

2020-06-07-12:35:52,trachia,3,126,672947,4372,0.0233,0.0007,0.0013

2020-06-07-12:35:52,spine,0,37,674514,2897,nan,nan,nan

2020-06-07-12:35:54,background,273412,8923,337016,58097,0.9684,0.8247,0.8908

2020-06-07-12:35:54,lungs1,82010,87336,472938,35164,0.4843,0.6999,0.5725

2020-06-07-12:35:54,lung2,50170,48460,504753,74065,0.5087,0.4038,0.4502

2020-06-07-12:35:54,heart,91795,35293,547570,2790,0.7223,0.9705,0.8282

2020-06-07-12:35:54,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:35:54,trachia,1,36,673037,4374,0.027,0.0002,0.0005

2020-06-07-12:35:54,spine,0,12,674539,2897,nan,nan,nan

2020-06-07-12:35:57,background,279922,9625,336314,51587,0.9668,0.8444,0.9014

2020-06-07-12:35:57,lungs1,71611,71772,488502,45563,0.4994,0.6112,0.5497

2020-06-07-12:35:57,lung2,64215,60393,492820,60020,0.5153,0.5169,0.5161

2020-06-07-12:35:57,heart,91590,28309,554554,2995,0.7639,0.9683,0.854

2020-06-07-12:35:57,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:35:57,trachia,0,9,673064,4375,nan,nan,nan

2020-06-07-12:35:57,spine,0,2,674549,2897,nan,nan,nan

2020-06-07-12:35:59,background,286010,10136,335803,45499,0.9658,0.8628,0.9114

2020-06-07-12:35:59,lungs1,55861,54895,505379,61313,0.5044,0.4767,0.4902

2020-06-07-12:35:59,lung2,79993,76360,476853,44242,0.5116,0.6439,0.5702

2020-06-07-12:35:59,heart,91624,22567,560296,2961,0.8024,0.9687,0.8777

2020-06-07-12:35:59,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:35:59,trachia,0,2,673071,4375,nan,nan,nan

2020-06-07-12:35:59,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:01,background,290282,10285,335654,41227,0.9658,0.8756,0.9185

2020-06-07-12:36:01,lungs1,43456,42728,517546,73718,0.5042,0.3709,0.4274

2020-06-07-12:36:01,lung2,91471,88137,465076,32764,0.5093,0.7363,0.6021

2020-06-07-12:36:01,heart,91784,19304,563559,2801,0.8262,0.9704,0.8925

2020-06-07-12:36:01,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:01,trachia,0,1,673072,4375,nan,nan,nan

2020-06-07-12:36:01,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:03,background,293766,9898,336041,37743,0.9674,0.8861,0.925

2020-06-07-12:36:03,lungs1,37883,36072,524202,79291,0.5122,0.3233,0.3964

2020-06-07-12:36:03,lung2,97511,92280,460933,26724,0.5138,0.7849,0.621

2020-06-07-12:36:03,heart,91991,18047,564816,2594,0.836,0.9726,0.8991

2020-06-07-12:36:03,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:03,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:03,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:05,background,297624,9488,336451,33885,0.9691,0.8978,0.9321

2020-06-07-12:36:05,lungs1,37431,33204,527070,79743,0.5299,0.3194,0.3986

2020-06-07-12:36:05,lung2,99944,90910,462303,24291,0.5237,0.8045,0.6344

2020-06-07-12:36:05,heart,92090,16757,566106,2495,0.846,0.9736,0.9054

2020-06-07-12:36:05,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:05,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:05,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:07,background,301467,9315,336624,30042,0.97,0.9094,0.9387

2020-06-07-12:36:07,lungs1,41689,32073,528201,75485,0.5652,0.3558,0.4367

2020-06-07-12:36:07,lung2,99936,85063,468150,24299,0.5402,0.8044,0.6463

2020-06-07-12:36:07,heart,92269,15636,567227,2316,0.8551,0.9755,0.9113

2020-06-07-12:36:07,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:07,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:07,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:09,background,305035,9590,336349,26474,0.9695,0.9201,0.9442

2020-06-07-12:36:09,lungs1,50546,32222,528052,66628,0.6107,0.4314,0.5056

2020-06-07-12:36:09,lung2,98591,74698,478515,25644,0.5689,0.7936,0.6627

2020-06-07-12:36:09,heart,92338,14428,568435,2247,0.8649,0.9762,0.9172

2020-06-07-12:36:09,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:09,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:09,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:12,background,307924,10136,335803,23585,0.9681,0.9289,0.9481

2020-06-07-12:36:12,lungs1,64227,32326,527948,52947,0.6652,0.5481,0.601

2020-06-07-12:36:12,lung2,97322,59596,493617,26913,0.6202,0.7834,0.6923

2020-06-07-12:36:12,heart,92486,13431,569432,2099,0.8732,0.9778,0.9225

2020-06-07-12:36:12,esophagus,0,0,674775,2673,nan,nan,nan

2020-06-07-12:36:12,trachia,0,0,673073,4375,nan,nan,nan

2020-06-07-12:36:12,spine,0,0,674551,2897,nan,nan,nan

2020-06-07-12:36:14,background,310136,10823,335116,21373,0.9663,0.9355,0.9507

2020-06-07-12:36:14,lungs1,75466,29011,531263,41708,0.7223,0.6441,0.6809

